rx_id,physician_id,drug_name,manufacturer,year,total_claims,total_day_supply,total_drug_cost_usd,received_payment,total_payment_usd
62,NPI4704901255,Cosentyx,Novartis,2022,110,2600,25010.81334606055,0,0.0
63,NPI4704901255,Cosentyx,Novartis,2023,102,2600,23741.62788753946,0,0.0
64,NPI4704901255,Keytruda,Merck,2021,47,1323,2954.112515740559,0,0.0
65,NPI4704901255,Keytruda,Merck,2022,49,1323,2464.5197146823207,0,0.0
66,NPI4704901255,Keytruda,Merck,2023,56,1323,2706.4952172488724,0,0.0
67,NPI4704901255,Xeljanz,Pfizer,2021,95,2805,4558.352397262565,0,0.0
68,NPI4704901255,Xeljanz,Pfizer,2022,80,2805,4206.504230507699,0,0.0
69,NPI4704901255,Xeljanz,Pfizer,2023,74,2805,4319.492599754812,0,0.0
70,NPI4704901255,Verzenio,Eli Lilly,2021,57,4092,18326.496163704316,0,0.0
71,NPI4704901255,Verzenio,Eli Lilly,2022,56,4092,22266.436973938115,0,0.0
72,NPI4704901255,Verzenio,Eli Lilly,2023,65,4092,22564.21313289382,0,0.0
73,NPI4704901255,Ofev,Boehringer Ingelheim,2021,26,1742,4916.222556872527,1,187.68
74,NPI4704901255,Ofev,Boehringer Ingelheim,2022,26,1742,6413.412309450698,1,187.68
75,NPI4704901255,Ofev,Boehringer Ingelheim,2023,24,1742,6353.722403564139,1,187.68
76,NPI4704901255,Jardiance,Boehringer Ingelheim,2021,58,3162,12924.425857415243,1,1826.86
77,NPI4704901255,Jardiance,Boehringer Ingelheim,2022,56,3162,16489.501944337488,1,1826.86
78,NPI4704901255,Jardiance,Boehringer Ingelheim,2023,69,3162,14217.350667730709,1,1826.86
79,NPI4704901255,Stelara,Johnson & Johnson,2021,53,3021,29339.252309399046,0,0.0
80,NPI4704901255,Stelara,Johnson & Johnson,2022,61,3021,23533.90369917247,0,0.0
81,NPI4704901255,Stelara,Johnson & Johnson,2023,56,3021,24135.157486196258,0,0.0
82,NPI2689443301,Trulicity,Eli Lilly,2021,112,8040,24782.753435428018,0,0.0
83,NPI2689443301,Trulicity,Eli Lilly,2022,133,8040,21128.911785216624,0,0.0
84,NPI2689443301,Trulicity,Eli Lilly,2023,104,8040,26027.438477934244,0,0.0
85,NPI2689443301,Januvia,Merck,2021,17,608,833.3879634303233,0,0.0
86,NPI2689443301,Januvia,Merck,2022,20,608,841.027825420946,0,0.0
87,NPI2689443301,Januvia,Merck,2023,20,608,1019.9650418957563,0,0.0
88,NPI2689443301,Xeljanz,Pfizer,2021,57,5022,60390.244826287955,0,0.0
89,NPI2689443301,Xeljanz,Pfizer,2022,61,5022,54621.68063145043,0,0.0
90,NPI2689443301,Xeljanz,Pfizer,2023,60,5022,60866.803519373134,0,0.0
91,NPI2689443301,Keytruda,Merck,2021,15,1320,16833.483754202294,0,0.0
92,NPI2689443301,Keytruda,Merck,2022,12,1320,15264.979446458532,0,0.0
93,NPI2689443301,Keytruda,Merck,2023,15,1320,14234.504340132493,0,0.0
94,NPI2689443301,Entresto,Novartis,2021,6,264,1021.6652067500031,0,0.0
95,NPI2689443301,Entresto,Novartis,2022,8,264,998.5491454357968,0,0.0
96,NPI2689443301,Entresto,Novartis,2023,8,264,934.1541401271363,0,0.0
97,NPI2689443301,Invega,Johnson & Johnson,2021,48,3078,24784.56401192716,0,0.0
98,NPI2689443301,Invega,Johnson & Johnson,2022,56,3078,26366.35681727706,0,0.0
99,NPI2689443301,Invega,Johnson & Johnson,2023,60,3078,24243.10480590458,0,0.0
100,NPI2689443301,Enbrel,Amgen,2021,232,6240,55770.877907553055,0,0.0
101,NPI2689443301,Enbrel,Amgen,2022,227,6240,50598.26055030611,0,0.0
102,NPI2689443301,Enbrel,Amgen,2023,181,6240,52156.917878617554,0,0.0
103,NPI7806764029,Gardasil,Merck,2021,87,5120,62739.077500154184,0,0.0
104,NPI7806764029,Gardasil,Merck,2022,71,5120,60271.86537144449,0,0.0
105,NPI7806764029,Gardasil,Merck,2023,73,5120,47468.6369817346,0,0.0
106,NPI7806764029,Jardiance,Boehringer Ingelheim,2021,72,3312,37568.43081314076,0,0.0
107,NPI7806764029,Jardiance,Boehringer Ingelheim,2022,76,3312,41185.91225260795,0,0.0
108,NPI7806764029,Jardiance,Boehringer Ingelheim,2023,78,3312,40945.18843050962,0,0.0
109,NPI7806764029,Keytruda,Merck,2021,97,4040,25802.492602239025,0,0.0
110,NPI7806764029,Keytruda,Merck,2022,88,4040,29062.88287306201,0,0.0
111,NPI7806764029,Keytruda,Merck,2023,114,4040,29292.53354821033,0,0.0
112,NPI7806764029,Farxiga,AstraZeneca,2021,77,6557,70903.72257736952,0,0.0
113,NPI7806764029,Farxiga,AstraZeneca,2022,70,6557,58256.409742781754,0,0.0
114,NPI7806764029,Farxiga,AstraZeneca,2023,82,6557,69693.05725686971,0,0.0
115,NPI7806764029,Revlimid,Bristol-Myers Squibb,2021,17,612,1407.9435707900452,0,0.0
116,NPI7806764029,Revlimid,Bristol-Myers Squibb,2022,16,612,1322.903967986105,0,0.0
117,NPI7806764029,Revlimid,Bristol-Myers Squibb,2023,14,612,1351.7321829523287,0,0.0
118,NPI7806764029,Verzenio,Eli Lilly,2021,111,5252,37013.39027194937,0,0.0
119,NPI7806764029,Verzenio,Eli Lilly,2022,107,5252,41457.6117931822,0,0.0
120,NPI7806764029,Verzenio,Eli Lilly,2023,86,5252,41573.68391167836,0,0.0
121,NPI3892606120,Taltz,Eli Lilly,2021,325,29406,149142.30476735404,0,0.0
122,NPI3892606120,Taltz,Eli Lilly,2022,295,29406,156890.0393382758,0,0.0
123,NPI3892606120,Taltz,Eli Lilly,2023,323,29406,157459.34674828124,0,0.0
124,NPI3892606120,Trulicity,Eli Lilly,2021,93,3026,35516.45277127919,0,0.0
125,NPI3892606120,Trulicity,Eli Lilly,2022,90,3026,31224.962559394975,0,0.0
126,NPI3892606120,Trulicity,Eli Lilly,2023,75,3026,34859.24334358193,0,0.0
127,NPI6300885614,Ofev,Boehringer Ingelheim,2021,100,2775,19398.779282014882,1,7684.54
128,NPI6300885614,Ofev,Boehringer Ingelheim,2022,110,2775,20376.37760887844,1,7684.54
129,NPI6300885614,Ofev,Boehringer Ingelheim,2023,102,2775,20651.754129913792,1,7684.54
130,NPI6300885614,Verzenio,Eli Lilly,2021,41,1218,9978.106612632288,0,0.0
131,NPI6300885614,Verzenio,Eli Lilly,2022,42,1218,9131.610023750027,0,0.0
132,NPI6300885614,Verzenio,Eli Lilly,2023,37,1218,10799.768379284349,0,0.0
133,NPI6300885614,Zolgensma,Novartis,2021,369,28652,332816.6810423341,1,565.03
134,NPI6300885614,Zolgensma,Novartis,2022,418,28652,287458.5862577384,1,565.03
135,NPI6300885614,Zolgensma,Novartis,2023,348,28652,310362.37992322294,1,565.03
136,NPI5641571628,Repatha,Amgen,2021,7,287,2253.5725768397165,0,0.0
137,NPI5641571628,Repatha,Amgen,2022,6,287,2203.591113435059,0,0.0
138,NPI5641571628,Repatha,Amgen,2023,7,287,2810.7603020651873,0,0.0
139,NPI5641571628,Jardiance,Boehringer Ingelheim,2021,165,12692,54675.85650957077,0,0.0
140,NPI5641571628,Jardiance,Boehringer Ingelheim,2022,175,12692,58472.951534146094,0,0.0
141,NPI5641571628,Jardiance,Boehringer Ingelheim,2023,182,12692,64194.225895294665,0,0.0
142,NPI5641571628,Symbicort,AstraZeneca,2021,39,1710,17759.692385112747,0,0.0
143,NPI5641571628,Symbicort,AstraZeneca,2022,38,1710,20384.29806723629,0,0.0
144,NPI5641571628,Symbicort,AstraZeneca,2023,44,1710,19335.04712486901,0,0.0
145,NPI5641571628,Farxiga,AstraZeneca,2021,72,5320,32502.20545100612,0,0.0
146,NPI5641571628,Farxiga,AstraZeneca,2022,66,5320,33995.48805633385,0,0.0
147,NPI5641571628,Farxiga,AstraZeneca,2023,59,5320,32163.61883991041,0,0.0
148,NPI5641571628,Invega,Johnson & Johnson,2021,122,7398,20684.612221548625,0,0.0
149,NPI5641571628,Invega,Johnson & Johnson,2022,125,7398,18789.689847420344,0,0.0
150,NPI5641571628,Invega,Johnson & Johnson,2023,125,7398,21833.90416539598,0,0.0
151,NPI8896843712,Lyrica,Pfizer,2021,16,1634,7758.128277871904,0,0.0
152,NPI8896843712,Lyrica,Pfizer,2022,18,1634,8169.712627255045,0,0.0
153,NPI8896843712,Lyrica,Pfizer,2023,18,1634,6213.886251877837,0,0.0
154,NPI8896843712,Cosentyx,Novartis,2021,280,20336,79597.35201999087,0,0.0
155,NPI8896843712,Cosentyx,Novartis,2022,264,20336,62456.21456313019,0,0.0
156,NPI8896843712,Cosentyx,Novartis,2023,225,20336,72753.47244481089,0,0.0
157,NPI8896843712,Eliquis,Pfizer,2021,185,6222,10243.361974959025,0,0.0
158,NPI8896843712,Eliquis,Pfizer,2022,208,6222,8697.623526783442,0,0.0
159,NPI8896843712,Eliquis,Pfizer,2023,205,6222,9319.17163873374,0,0.0
160,NPI8896843712,Januvia,Merck,2021,92,4770,53824.818791582264,0,0.0
161,NPI8896843712,Januvia,Merck,2022,100,4770,50745.86610488492,0,0.0
162,NPI8896843712,Januvia,Merck,2023,79,4770,44979.73263354576,0,0.0
163,NPI8896843712,Zolgensma,Novartis,2021,49,2107,24688.386657301548,0,0.0
164,NPI8896843712,Zolgensma,Novartis,2022,45,2107,26955.676856922164,0,0.0
165,NPI8896843712,Zolgensma,Novartis,2023,47,2107,24049.85060749732,0,0.0
166,NPI8896843712,Opdivo,Bristol-Myers Squibb,2021,47,1855,11047.36662094232,0,0.0
167,NPI8896843712,Opdivo,Bristol-Myers Squibb,2022,51,1855,12605.386050003483,0,0.0
168,NPI8896843712,Opdivo,Bristol-Myers Squibb,2023,57,1855,13031.297605903485,0,0.0
169,NPI2098134386,Trulicity,Eli Lilly,2021,116,9750,93535.30298374865,0,0.0
170,NPI2098134386,Trulicity,Eli Lilly,2022,125,9750,81873.36662067547,0,0.0
171,NPI2098134386,Trulicity,Eli Lilly,2023,147,9750,75907.662888327,0,0.0
172,NPI2098134386,Zolgensma,Novartis,2021,49,3087,16743.187229246018,0,0.0
173,NPI2098134386,Zolgensma,Novartis,2022,48,3087,15122.438284680267,0,0.0
174,NPI2098134386,Zolgensma,Novartis,2023,51,3087,13281.568162553167,0,0.0
175,NPI2098134386,Jardiance,Boehringer Ingelheim,2021,62,1716,12085.240870603284,0,0.0
176,NPI2098134386,Jardiance,Boehringer Ingelheim,2022,71,1716,14648.100852970896,0,0.0
177,NPI2098134386,Jardiance,Boehringer Ingelheim,2023,74,1716,15030.737592439087,0,0.0
178,NPI2098134386,Cosentyx,Novartis,2021,44,2200,20796.32417594024,0,0.0
179,NPI2098134386,Cosentyx,Novartis,2022,45,2200,20969.157546526585,0,0.0
180,NPI2098134386,Cosentyx,Novartis,2023,57,2200,17067.62667611599,0,0.0
181,NPI2098134386,Gardasil,Merck,2021,37,3060,29932.0046273037,0,0.0
182,NPI2098134386,Gardasil,Merck,2022,39,3060,31719.84792834555,0,0.0
183,NPI2098134386,Gardasil,Merck,2023,39,3060,28743.785330671955,0,0.0
184,NPI2098134386,Repatha,Amgen,2021,19,638,2038.1129309510686,0,0.0
185,NPI2098134386,Repatha,Amgen,2022,22,638,1702.405721543789,0,0.0
186,NPI2098134386,Repatha,Amgen,2023,20,638,2029.5745763299428,0,0.0
187,NPI2028367074,Stelara,Johnson & Johnson,2021,79,6440,25287.786457040987,0,0.0
188,NPI2028367074,Stelara,Johnson & Johnson,2022,103,6440,28600.76422642269,0,0.0
189,NPI2028367074,Stelara,Johnson & Johnson,2023,82,6440,25691.21127462681,0,0.0
190,NPI2028367074,Farxiga,AstraZeneca,2021,23,880,1884.2763999825295,0,0.0
191,NPI2028367074,Farxiga,AstraZeneca,2022,21,880,1712.0417877622426,0,0.0
192,NPI2028367074,Farxiga,AstraZeneca,2023,22,880,2116.069543925657,0,0.0
193,NPI2028367074,Ofev,Boehringer Ingelheim,2021,276,17263,129459.48562290847,0,0.0
194,NPI2028367074,Ofev,Boehringer Ingelheim,2022,295,17263,127206.56722168995,0,0.0
195,NPI2028367074,Ofev,Boehringer Ingelheim,2023,296,17263,129557.92390438916,0,0.0
196,NPI2028367074,Xarelto,Johnson & Johnson,2021,133,10080,99768.75936653015,0,0.0
197,NPI2028367074,Xarelto,Johnson & Johnson,2022,124,10080,97986.43654035442,0,0.0
198,NPI2028367074,Xarelto,Johnson & Johnson,2023,125,10080,104035.03729201503,0,0.0
199,NPI2028367074,Xeljanz,Pfizer,2021,25,2016,10673.214546554445,0,0.0
200,NPI2028367074,Xeljanz,Pfizer,2022,21,2016,11184.375106857684,0,0.0
201,NPI2028367074,Xeljanz,Pfizer,2023,24,2016,9194.778190361469,0,0.0
202,NPI2028367074,Otezla,Amgen,2021,83,2788,28317.785200535935,0,0.0
203,NPI2028367074,Otezla,Amgen,2022,93,2788,30336.073891490214,0,0.0
204,NPI2028367074,Otezla,Amgen,2023,92,2788,33493.24432837501,0,0.0
205,NPI3702877021,Otezla,Amgen,2021,75,5520,48142.23547076369,0,0.0
206,NPI3702877021,Otezla,Amgen,2022,59,5520,48003.138781784015,0,0.0
207,NPI3702877021,Otezla,Amgen,2023,72,5520,38894.086084094386,0,0.0
208,NPI3702877021,Rinvoq,AbbVie,2021,41,3567,35396.89201636662,0,0.0
209,NPI3702877021,Rinvoq,AbbVie,2022,43,3567,27738.7058490415,0,0.0
210,NPI3702877021,Rinvoq,AbbVie,2023,43,3567,28196.08767370596,0,0.0
211,NPI3702877021,Keytruda,Merck,2021,141,8000,56601.6343992858,0,0.0
212,NPI3702877021,Keytruda,Merck,2022,125,8000,49201.12631747517,0,0.0
213,NPI3702877021,Keytruda,Merck,2023,138,8000,52194.05427917873,0,0.0
214,NPI4880934712,Lyrica,Pfizer,2021,212,8806,14829.603942761605,0,0.0
215,NPI4880934712,Lyrica,Pfizer,2022,220,8806,17967.498637157823,0,0.0
216,NPI4880934712,Lyrica,Pfizer,2023,212,8806,16446.548486290492,0,0.0
217,NPI4880934712,Xeljanz,Pfizer,2021,67,3008,21903.60857341131,0,0.0
218,NPI4880934712,Xeljanz,Pfizer,2022,61,3008,24378.96058913339,0,0.0
219,NPI4880934712,Xeljanz,Pfizer,2023,70,3008,20551.632206405644,0,0.0
220,NPI4880934712,Zolgensma,Novartis,2021,145,3591,6940.376899845802,0,0.0
221,NPI4880934712,Zolgensma,Novartis,2022,151,3591,6838.070992523872,0,0.0
222,NPI4880934712,Zolgensma,Novartis,2023,166,3591,8281.702108943993,0,0.0
223,NPI4880934712,Verzenio,Eli Lilly,2021,19,456,2177.038909585186,0,0.0
224,NPI4880934712,Verzenio,Eli Lilly,2022,17,456,2598.9952888803855,0,0.0
225,NPI4880934712,Verzenio,Eli Lilly,2023,18,456,2256.373409392309,0,0.0
226,NPI4880934712,Januvia,Merck,2021,27,2132,20557.851398258885,0,0.0
227,NPI4880934712,Januvia,Merck,2022,28,2132,16511.24982013913,0,0.0
228,NPI4880934712,Januvia,Merck,2023,22,2132,20576.226030467915,0,0.0
229,NPI3686880238,Rinvoq,AbbVie,2021,58,2552,5906.602731538864,0,0.0
230,NPI3686880238,Rinvoq,AbbVie,2022,56,2552,5202.820630004436,0,0.0
231,NPI3686880238,Rinvoq,AbbVie,2023,52,2552,5035.679648284966,0,0.0
232,NPI3686880238,Trulicity,Eli Lilly,2021,407,21670,125809.93257466603,0,0.0
233,NPI3686880238,Trulicity,Eli Lilly,2022,346,21670,112796.01826541488,0,0.0
234,NPI3686880238,Trulicity,Eli Lilly,2023,421,21670,139227.05841554925,0,0.0
235,NPI3686880238,Humira,AbbVie,2021,58,1320,15094.255102482575,0,0.0
236,NPI3686880238,Humira,AbbVie,2022,55,1320,15679.856281981525,0,0.0
237,NPI3686880238,Humira,AbbVie,2023,55,1320,14925.029863260925,0,0.0
238,NPI3686880238,Symbicort,AstraZeneca,2021,108,7260,72994.5400702378,0,0.0
239,NPI3686880238,Symbicort,AstraZeneca,2022,97,7260,66851.45769981299,0,0.0
240,NPI3686880238,Symbicort,AstraZeneca,2023,105,7260,64608.99522352602,0,0.0
241,NPI7868683740,Otezla,Amgen,2021,111,7210,29992.356260850716,0,0.0
242,NPI7868683740,Otezla,Amgen,2022,109,7210,27904.322520520644,0,0.0
243,NPI7868683740,Otezla,Amgen,2023,93,7210,25371.62666778304,0,0.0
244,NPI7868683740,Pradaxa,Boehringer Ingelheim,2021,32,2635,12288.971499067877,0,0.0
245,NPI7868683740,Pradaxa,Boehringer Ingelheim,2022,30,2635,9659.35271684992,0,0.0
246,NPI7868683740,Pradaxa,Boehringer Ingelheim,2023,28,2635,10740.34117343063,0,0.0
247,NPI7868683740,Enbrel,Amgen,2021,24,1122,12828.22464470162,0,0.0
248,NPI7868683740,Enbrel,Amgen,2022,19,1122,11080.292337174544,0,0.0
249,NPI7868683740,Enbrel,Amgen,2023,20,1122,13138.518539722156,0,0.0
250,NPI3207392587,Januvia,Merck,2021,35,1360,2730.3074563593714,0,0.0
251,NPI3207392587,Januvia,Merck,2022,31,1360,2711.289000675616,0,0.0
252,NPI3207392587,Januvia,Merck,2023,29,1360,2558.0696673502694,0,0.0
253,NPI3207392587,Repatha,Amgen,2021,41,2990,24602.13439462781,0,0.0
254,NPI3207392587,Repatha,Amgen,2022,42,2990,21849.89514406147,0,0.0
255,NPI3207392587,Repatha,Amgen,2023,40,2990,25585.313124034452,0,0.0
256,NPI3207392587,Stelara,Johnson & Johnson,2021,22,2002,5629.484348976337,0,0.0
257,NPI3207392587,Stelara,Johnson & Johnson,2022,28,2002,4929.931586630725,0,0.0
258,NPI3207392587,Stelara,Johnson & Johnson,2023,23,2002,6321.875298399721,0,0.0
259,NPI3207392587,Farxiga,AstraZeneca,2021,130,5202,37405.26284386205,0,0.0
260,NPI3207392587,Farxiga,AstraZeneca,2022,140,5202,40242.94223538793,0,0.0
261,NPI3207392587,Farxiga,AstraZeneca,2023,146,5202,38036.3355284715,0,0.0
262,NPI1762972684,Xeljanz,Pfizer,2021,50,1275,4833.064801044548,0,0.0
263,NPI1762972684,Xeljanz,Pfizer,2022,57,1275,4388.459942130215,0,0.0
264,NPI1762972684,Xeljanz,Pfizer,2023,48,1275,5147.36843217334,0,0.0
265,NPI1762972684,Entresto,Novartis,2021,69,3717,21061.12838358708,0,0.0
266,NPI1762972684,Entresto,Novartis,2022,71,3717,21495.61513061813,0,0.0
267,NPI1762972684,Entresto,Novartis,2023,57,3717,21848.748577898197,0,0.0
268,NPI1762972684,Gardasil,Merck,2021,45,1080,11515.321976592535,0,0.0
269,NPI1762972684,Gardasil,Merck,2022,34,1080,11565.481404482243,0,0.0
270,NPI1762972684,Gardasil,Merck,2023,40,1080,10472.916859565728,0,0.0
271,NPI4724198288,Ofev,Boehringer Ingelheim,2021,7,378,2099.3656963275644,0,0.0
272,NPI4724198288,Ofev,Boehringer Ingelheim,2022,7,378,1927.6576241559615,0,0.0
273,NPI4724198288,Ofev,Boehringer Ingelheim,2023,7,378,2153.3103744337436,0,0.0
274,NPI4724198288,Brilinta,AstraZeneca,2021,129,13083,60520.50263683241,0,0.0
275,NPI4724198288,Brilinta,AstraZeneca,2022,163,13083,55729.03294600525,0,0.0
276,NPI4724198288,Brilinta,AstraZeneca,2023,138,13083,50410.25210614273,0,0.0
277,NPI7960413592,Pradaxa,Boehringer Ingelheim,2021,14,705,3738.8020407406375,0,0.0
278,NPI7960413592,Pradaxa,Boehringer Ingelheim,2022,14,705,3741.6102422616696,0,0.0
279,NPI7960413592,Pradaxa,Boehringer Ingelheim,2023,16,705,3212.199447908004,0,0.0
280,NPI7960413592,Januvia,Merck,2021,158,3675,30368.455410633207,0,0.0
281,NPI7960413592,Januvia,Merck,2022,143,3675,33450.48244685371,0,0.0
282,NPI7960413592,Januvia,Merck,2023,159,3675,37176.27230166727,0,0.0
283,NPI7960413592,Otezla,Amgen,2021,72,6853,18022.231259545315,0,0.0
284,NPI7960413592,Otezla,Amgen,2022,72,6853,15466.885451168318,0,0.0
285,NPI7960413592,Otezla,Amgen,2023,65,6853,19621.471257874928,0,0.0
286,NPI7960413592,Eliquis,Pfizer,2021,818,37720,218428.50245444683,0,0.0
287,NPI7960413592,Eliquis,Pfizer,2022,721,37720,251017.66000338693,0,0.0
288,NPI7960413592,Eliquis,Pfizer,2023,923,37720,242773.20051703276,0,0.0
289,NPI7960413592,Brilinta,AstraZeneca,2021,32,609,3046.2036377666363,0,0.0
290,NPI7960413592,Brilinta,AstraZeneca,2022,28,609,2798.434929912169,0,0.0
291,NPI7960413592,Brilinta,AstraZeneca,2023,31,609,2427.8527902187852,0,0.0
292,NPI8655057491,Cosentyx,Novartis,2021,56,1750,10823.719466379574,0,0.0
293,NPI8655057491,Cosentyx,Novartis,2022,53,1750,12943.587058652149,0,0.0
294,NPI8655057491,Cosentyx,Novartis,2023,51,1750,11591.87556393638,0,0.0
295,NPI8655057491,Januvia,Merck,2021,164,14985,81019.46905614693,1,1575.84
296,NPI8655057491,Januvia,Merck,2022,201,14985,68819.50194414631,1,1575.84
297,NPI8655057491,Januvia,Merck,2023,157,14985,67509.63159325582,1,1575.84
298,NPI8655057491,Ofev,Boehringer Ingelheim,2021,71,5467,65061.60659267159,1,883.74
299,NPI8655057491,Ofev,Boehringer Ingelheim,2022,80,5467,61716.677588774444,1,883.74
300,NPI8655057491,Ofev,Boehringer Ingelheim,2023,77,5467,66033.94443693195,1,883.74
301,NPI8655057491,Entresto,Novartis,2021,126,6528,30492.417327362575,0,0.0
302,NPI8655057491,Entresto,Novartis,2022,138,6528,24566.644293607664,0,0.0
303,NPI8655057491,Entresto,Novartis,2023,153,6528,24903.320475703218,0,0.0
304,NPI7600103634,Opdivo,Bristol-Myers Squibb,2021,54,2520,22466.066253044224,0,0.0
305,NPI7600103634,Opdivo,Bristol-Myers Squibb,2022,57,2520,20837.607081471084,0,0.0
306,NPI7600103634,Opdivo,Bristol-Myers Squibb,2023,58,2520,19105.34120422126,0,0.0
307,NPI7600103634,Repatha,Amgen,2021,101,3744,19615.986561417994,0,0.0
308,NPI7600103634,Repatha,Amgen,2022,112,3744,16580.664374893146,0,0.0
309,NPI7600103634,Repatha,Amgen,2023,122,3744,21750.705369221512,0,0.0
