payment_id,physician_id,company,drug_name,category,amount_usd,year
206,NPI5333323847,Eli Lilly,Verzenio,Food and Beverage,6.44,2022
207,NPI5333323847,Eli Lilly,Verzenio,Food and Beverage,7.23,2022
208,NPI5333323847,Eli Lilly,Verzenio,Food and Beverage,98.25,2021
209,NPI5333323847,Eli Lilly,Taltz,Food and Beverage,34.16,2022
210,NPI5333323847,Eli Lilly,Taltz,Food and Beverage,8.65,2023
211,NPI5333323847,Eli Lilly,Taltz,Food and Beverage,31.69,2023
212,NPI5333323847,Eli Lilly,Taltz,Education,460.01,2022
213,NPI5333323847,Eli Lilly,Trulicity,Education,1062.05,2022
214,NPI5333323847,Eli Lilly,Taltz,Food and Beverage,13.49,2023
215,NPI5333323847,Eli Lilly,Verzenio,Food and Beverage,6.76,2019
216,NPI5333323847,Eli Lilly,Verzenio,Food and Beverage,15.09,2019
217,NPI5333323847,Eli Lilly,Trulicity,Food and Beverage,3.01,2023
218,NPI5333323847,Eli Lilly,Trulicity,Food and Beverage,5.17,2022
219,NPI5333323847,Eli Lilly,Verzenio,Food and Beverage,24.57,2023
220,NPI1810495339,Amgen,Repatha,Food and Beverage,27.14,2022
221,NPI8791183317,Merck,Januvia,Food and Beverage,8.41,2023
222,NPI8791183317,Merck,Gardasil,Speaker Fee,4933.76,2019
223,NPI8791183317,Merck,Keytruda,Food and Beverage,2.38,2021
224,NPI2272881592,Johnson & Johnson,Stelara,Consulting Fee,3847.66,2022
225,NPI2272881592,Amgen,Otezla,Travel and Lodging,286.25,2023
226,NPI2272881592,Amgen,Enbrel,Consulting Fee,1125.74,2021
227,NPI2272881592,Bristol-Myers Squibb,Eliquis,Consulting Fee,3510.12,2020
228,NPI2272881592,Bristol-Myers Squibb,Eliquis,Speaker Fee,1296.55,2022
229,NPI2272881592,Bristol-Myers Squibb,Eliquis,Speaker Fee,3642.23,2022
230,NPI1438007093,Bristol-Myers Squibb,Eliquis,Food and Beverage,7.64,2019
231,NPI1438007093,Bristol-Myers Squibb,Opdivo,Food and Beverage,8.86,2021
232,NPI1438007093,AbbVie,Rinvoq,Food and Beverage,18.0,2023
233,NPI1438007093,Eli Lilly,Verzenio,Food and Beverage,8.01,2022
234,NPI1438007093,Eli Lilly,Verzenio,Food and Beverage,26.22,2022
235,NPI1438007093,Bristol-Myers Squibb,Revlimid,Food and Beverage,16.49,2022
236,NPI1438007093,AbbVie,Imbruvica,Food and Beverage,33.97,2019
237,NPI1438007093,Eli Lilly,Taltz,Research,10133.26,2022
238,NPI1438007093,AbbVie,Rinvoq,Education,223.83,2019
239,NPI9906926469,Eli Lilly,Taltz,Food and Beverage,5.55,2022
240,NPI5441243574,AstraZeneca,Farxiga,Food and Beverage,9.85,2022
241,NPI5441243574,Pfizer,Xeljanz,Food and Beverage,31.82,2020
242,NPI5441243574,Pfizer,Eliquis,Travel and Lodging,440.76,2023
243,NPI5441243574,AstraZeneca,Symbicort,Travel and Lodging,124.81,2022
244,NPI5441243574,Pfizer,Xeljanz,Food and Beverage,11.29,2021
245,NPI5441243574,AstraZeneca,Brilinta,Food and Beverage,12.82,2023
246,NPI4199671167,Johnson & Johnson,Stelara,Food and Beverage,38.66,2022
247,NPI9820113803,Novartis,Entresto,Food and Beverage,10.88,2021
248,NPI9820113803,Eli Lilly,Trulicity,Food and Beverage,45.63,2021
249,NPI9820113803,Novartis,Cosentyx,Food and Beverage,20.28,2023
250,NPI3270257069,Boehringer Ingelheim,Ofev,Food and Beverage,17.43,2021
251,NPI3270257069,Boehringer Ingelheim,Pradaxa,Food and Beverage,55.99,2022
252,NPI3270257069,Boehringer Ingelheim,Pradaxa,Consulting Fee,5589.51,2023
253,NPI7531375560,Merck,Keytruda,Food and Beverage,28.07,2021
254,NPI7531375560,Merck,Gardasil,Food and Beverage,11.25,2022
255,NPI7531375560,Merck,Gardasil,Food and Beverage,9.55,2021
256,NPI7531375560,Merck,Januvia,Food and Beverage,23.24,2019
257,NPI7531375560,Merck,Keytruda,Food and Beverage,3.46,2022
258,NPI1014677628,Merck,Gardasil,Food and Beverage,3.0,2021
259,NPI7081736603,Boehringer Ingelheim,Jardiance,Consulting Fee,1381.92,2022
260,NPI7081736603,Bristol-Myers Squibb,Eliquis,Food and Beverage,34.74,2023
261,NPI7333629576,AstraZeneca,Farxiga,Food and Beverage,24.71,2021
262,NPI7333629576,Pfizer,Lyrica,Consulting Fee,1566.85,2020
263,NPI9911310525,Bristol-Myers Squibb,Eliquis,Consulting Fee,1055.41,2023
264,NPI9911310525,Eli Lilly,Trulicity,Speaker Fee,4673.54,2023
265,NPI9911310525,Eli Lilly,Verzenio,Travel and Lodging,711.87,2020
266,NPI9911310525,Bristol-Myers Squibb,Opdivo,Speaker Fee,2242.31,2022
267,NPI9911310525,Bristol-Myers Squibb,Revlimid,Education,1055.51,2023
268,NPI3468147149,Bristol-Myers Squibb,Eliquis,Speaker Fee,3329.56,2019
269,NPI8321738945,AbbVie,Humira,Travel and Lodging,366.5,2023
270,NPI2443571245,Amgen,Enbrel,Food and Beverage,54.33,2019
271,NPI2443571245,Johnson & Johnson,Stelara,Food and Beverage,71.23,2022
272,NPI2443571245,Johnson & Johnson,Invega,Food and Beverage,18.6,2022
273,NPI2443571245,Amgen,Otezla,Speaker Fee,1993.92,2022
274,NPI2443571245,Johnson & Johnson,Invega,Food and Beverage,21.01,2023
275,NPI6945253078,Bristol-Myers Squibb,Eliquis,Food and Beverage,100.66,2022
276,NPI6945253078,Pfizer,Xeljanz,Food and Beverage,15.22,2023
277,NPI6945253078,AbbVie,Humira,Speaker Fee,3358.1,2023
278,NPI6945253078,AbbVie,Imbruvica,Food and Beverage,67.08,2022
279,NPI6945253078,Pfizer,Xeljanz,Education,720.84,2022
280,NPI6945253078,Bristol-Myers Squibb,Revlimid,Food and Beverage,5.51,2019
281,NPI6945253078,Pfizer,Lyrica,Food and Beverage,39.92,2022
282,NPI6945253078,Bristol-Myers Squibb,Eliquis,Food and Beverage,7.64,2019
283,NPI5983858847,AstraZeneca,Symbicort,Food and Beverage,20.26,2023
284,NPI5983858847,AstraZeneca,Farxiga,Consulting Fee,950.44,2021
285,NPI5983858847,AstraZeneca,Farxiga,Food and Beverage,104.44,2023
286,NPI5983858847,AstraZeneca,Farxiga,Speaker Fee,6113.5,2019
287,NPI5983858847,AstraZeneca,Symbicort,Food and Beverage,12.19,2022
288,NPI5983858847,AstraZeneca,Farxiga,Food and Beverage,18.87,2022
289,NPI5983858847,AstraZeneca,Farxiga,Food and Beverage,38.41,2019
290,NPI5983858847,AstraZeneca,Brilinta,Food and Beverage,31.4,2020
291,NPI5983858847,AstraZeneca,Farxiga,Food and Beverage,8.56,2022
292,NPI5983858847,AstraZeneca,Brilinta,Food and Beverage,10.46,2023
293,NPI5983858847,AstraZeneca,Farxiga,Food and Beverage,12.99,2019
294,NPI5983858847,AstraZeneca,Brilinta,Food and Beverage,93.25,2020
295,NPI5983858847,AstraZeneca,Farxiga,Food and Beverage,16.5,2019
296,NPI5983858847,AstraZeneca,Brilinta,Food and Beverage,13.63,2021
297,NPI5983858847,AstraZeneca,Brilinta,Food and Beverage,18.43,2021
298,NPI5983858847,AstraZeneca,Farxiga,Travel and Lodging,205.77,2022
299,NPI5983858847,AstraZeneca,Farxiga,Food and Beverage,20.18,2019
300,NPI5983858847,AstraZeneca,Symbicort,Food and Beverage,21.37,2020
301,NPI6182895326,Novartis,Entresto,Consulting Fee,2509.99,2023
302,NPI6182895326,Johnson & Johnson,Stelara,Grant,130989.86,2020
303,NPI3730986076,Pfizer,Xeljanz,Speaker Fee,2325.01,2021
304,NPI3730986076,Merck,Keytruda,Food and Beverage,11.44,2022
305,NPI3730986076,Pfizer,Xeljanz,Food and Beverage,6.23,2022
306,NPI3730986076,Pfizer,Eliquis,Research,11309.81,2023
307,NPI3730986076,Novartis,Entresto,Food and Beverage,106.15,2022
308,NPI3730986076,Pfizer,Lyrica,Consulting Fee,1545.33,2023
309,NPI3730986076,Novartis,Cosentyx,Speaker Fee,1826.8,2023
310,NPI3730986076,Pfizer,Xeljanz,Food and Beverage,25.94,2021
311,NPI2464747473,Amgen,Repatha,Speaker Fee,5291.42,2020
312,NPI4277752385,Amgen,Enbrel,Food and Beverage,3.94,2019
313,NPI4277752385,Amgen,Otezla,Food and Beverage,9.56,2022
314,NPI4277752385,Amgen,Repatha,Travel and Lodging,838.13,2022
315,NPI4277752385,Amgen,Enbrel,Food and Beverage,187.28,2020
316,NPI4277752385,Amgen,Repatha,Education,595.06,2022
317,NPI8638018183,Amgen,Enbrel,Food and Beverage,139.4,2021
318,NPI2715784809,Johnson & Johnson,Invega,Travel and Lodging,456.31,2022
319,NPI2715784809,Novartis,Entresto,Education,487.11,2021
320,NPI2715784809,Johnson & Johnson,Invega,Food and Beverage,23.61,2019
321,NPI2715784809,Novartis,Cosentyx,Food and Beverage,26.6,2022
322,NPI8392367226,AstraZeneca,Farxiga,Food and Beverage,23.28,2023
323,NPI8392367226,AstraZeneca,Symbicort,Speaker Fee,3337.0,2022
324,NPI8392367226,AstraZeneca,Farxiga,Speaker Fee,4612.91,2022
325,NPI8392367226,AstraZeneca,Symbicort,Travel and Lodging,171.38,2019
326,NPI5403061604,Novartis,Cosentyx,Consulting Fee,800.22,2021
327,NPI5403061604,Novartis,Entresto,Food and Beverage,10.55,2023
328,NPI5403061604,Novartis,Cosentyx,Education,835.36,2022
329,NPI5403061604,Novartis,Zolgensma,Food and Beverage,29.31,2022
330,NPI5403061604,Novartis,Cosentyx,Grant,237975.08,2023
331,NPI5403061604,Novartis,Cosentyx,Food and Beverage,23.24,2023
332,NPI5403061604,Novartis,Cosentyx,Food and Beverage,1.02,2020
333,NPI5403061604,Novartis,Zolgensma,Food and Beverage,14.84,2020
334,NPI5403061604,Novartis,Zolgensma,Food and Beverage,17.37,2022
335,NPI5403061604,Novartis,Cosentyx,Food and Beverage,17.53,2023
336,NPI5403061604,Novartis,Entresto,Speaker Fee,4287.51,2022
337,NPI5403061604,Novartis,Zolgensma,Food and Beverage,11.22,2023
338,NPI5403061604,Novartis,Cosentyx,Education,254.72,2021
339,NPI5403061604,Novartis,Cosentyx,Food and Beverage,3.9,2021
340,NPI1677975961,AstraZeneca,Farxiga,Grant,22572.51,2021
341,NPI1677975961,AstraZeneca,Brilinta,Speaker Fee,1349.97,2019
342,NPI1677975961,Eli Lilly,Trulicity,Travel and Lodging,1013.14,2022
343,NPI1677975961,AstraZeneca,Farxiga,Food and Beverage,27.74,2019
344,NPI1677975961,Eli Lilly,Verzenio,Travel and Lodging,151.62,2023
345,NPI1677975961,AstraZeneca,Symbicort,Consulting Fee,1659.46,2023
346,NPI1677975961,Eli Lilly,Taltz,Speaker Fee,3174.71,2021
347,NPI1677975961,Eli Lilly,Verzenio,Food and Beverage,14.21,2023
348,NPI1677975961,Eli Lilly,Trulicity,Travel and Lodging,443.66,2019
349,NPI1677975961,Eli Lilly,Taltz,Grant,16385.48,2022
350,NPI7101132264,AbbVie,Imbruvica,Food and Beverage,6.74,2021
351,NPI8115413400,Merck,Gardasil,Food and Beverage,18.13,2019
352,NPI8115413400,Merck,Keytruda,Grant,93951.6,2020
353,NPI8115413400,Merck,Januvia,Grant,53407.92,2022
354,NPI8115413400,Merck,Gardasil,Speaker Fee,1414.26,2022
355,NPI8115413400,Merck,Gardasil,Food and Beverage,15.64,2020
356,NPI8115413400,Merck,Keytruda,Food and Beverage,60.89,2023
357,NPI8115413400,Merck,Gardasil,Travel and Lodging,224.63,2021
358,NPI8648726933,Amgen,Enbrel,Consulting Fee,1027.19,2020
359,NPI7048141500,Boehringer Ingelheim,Pradaxa,Food and Beverage,62.32,2019
360,NPI7048141500,Novartis,Cosentyx,Food and Beverage,47.62,2020
361,NPI7048141500,Novartis,Entresto,Travel and Lodging,172.72,2019
